sample_id,volume_mL,wetweight_g,dryweight_g,afdw_g,chl_wetweight_g,chl_dryweight_g,algae_id,species,full_species
DC05_OFF,476,6.00,NA,NA,12.24,NA,DC05,dc,dictyosphaeria_cavernosa
DS08_OFF,476,1.94,NA,NA,3.89,NA,DS08,ds,dicyota_sandvicensis
DC04_OFF,474,4.87,NA,NA,8.33,NA,DC04,dc,dictyosphaeria_cavernosa
HD12_IN,474,7.00,NA,NA,2.79,NA,HD12,hd,halimeda_discoidea
AV12_OFF,466,13.85,NA,NA,6.59,NA,AV12,av,avrainvillea_lacerata
BLANK2_RUN8_PI,480,0.00,NA,NA,0.00,NA,BLANK2_RUN8,blank,blank
HD14_IN,464,14.00,NA,NA,4.90,NA,HD14,hd,halimeda_discoidea
HD13_OFF,471,8.38,NA,NA,8.42,NA,HD13,hd,halimeda_discoidea
BLANK1_RUN9_PI,480,0.00,NA,NA,0.00,NA,BLANK1_RUN9,blank,blank
DC06_OFF,477,3.53,NA,NA,11.18,NA,DC06,dc,dictyosphaeria_cavernosa
GS14_IN,481,2.12,NA,NA,11.75,NA,GS14,gs,gracilaria_salicornia
AV13_IN,475,6.36,NA,NA,8.55,NA,AV13,av,avrainvillea_lacerata
GS13_IN,479,1.84,NA,NA,18.21,NA,GS13,gs,gracilaria_salicornia
SF12_IN,473,3.10,NA,NA,10.71,NA,SF12,sf,spyridia_filamentosa
BLANK2_RUN9_PI,479,0.00,NA,NA,0.00,NA,BLANK2_RUN9,blank,blank
DA09_IN,475,1.80,NA,NA,1.50,NA,DA09,da,dictyota_acutiloba
GS12_OFF,476,3.91,NA,NA,8.09,NA,GS12,gs,gracilaria_salicornia
AS12_OFF,480,0.87,NA,NA,4.39,NA,AS12,as,acanthophora_spicifera
AS13_IN,479,2.38,NA,NA,6.39,NA,AS13,as,acanthophora_spicifera
GS15_IN,477,3.77,NA,NA,19.84,NA,GS15,gs,gracilaria_salicornia
HD15_OFF,469,9.07,NA,NA,2.92,NA,HD15,hd,halimeda_discoidea
DA10_IN,472,2.59,NA,NA,1.35,NA,DA10,da,dictyota_acutiloba
BLANK1_RUN10_PI,479,0.00,NA,NA,0.00,NA,BLANK1_RUN10,blank,blank
DS09_OFF,480,1.39,NA,NA,3.05,NA,DS09,ds,dicyota_sandvicensis
AV15_IN,478,5.50,NA,NA,5.06,NA,AV15,av,avrainvillea_lacerata
DC08_OFF,470,8.73,NA,NA,5.10,NA,DC08,dc,dictyosphaeria_cavernosa
DS10_OFF,478,1.20,NA,NA,1.39,NA,DS10,ds,dicyota_sandvicensis
DC07_OFF,475,5.34,NA,NA,18.53,NA,DC07,dc,dictyosphaeria_cavernosa
AV14_OFF,460,21.69,NA,NA,6.03,NA,AV14,av,avrainvillea_lacerata
BLANK2_RUN10_PI,481,0.00,NA,NA,0.00,NA,BLANK2_RUN10,blank,blank
DA11_IN,470,2.72,NA,NA,4.87,NA,DA11,da,dictyota_acutiloba
BLANK1_RUN11_PI,479,0.00,NA,NA,0.00,NA,BLANK1_RUN11,blank,blank
AS15_IN,479,1.84,NA,NA,5.66,NA,AS15,as,acanthophora_spicifera
AV17_IN,477,4.47,NA,NA,9.92,NA,AV17,av,avrainvillea_lacerata
HD16_OFF,464,17.15,NA,NA,9.57,NA,HD16,hd,halimeda_discoidea
GS16_IN,477,2.19,NA,NA,16.13,NA,GS16,gs,gracilaria_salicornia
DS11_OFF,475,1.58,NA,NA,4.00,NA,DS11,ds,dicyota_sandvicensis
AS14_OFF,479,1.21,NA,NA,5.11,NA,AS14,as,acanthophora_spicifera
SF13_IN,473,2.91,NA,NA,12.32,NA,SF13,sf,spyridia_filamentosa
DC09_OFF,476,4.13,NA,NA,8.95,NA,DC09,dc,dictyosphaeria_cavernosa
BLANK2_RUN11_PI,480,0.00,NA,NA,0.00,NA,BLANK2_RUN11,blank,blank
AV16_OFF,464,15.93,NA,NA,9.61,NA,AV16,av,avrainvillea_lacerata
BLANK1_RUN12_PI,479,0.00,NA,NA,0.00,NA,BLANK1_RUN12,blank,blank
AV18_OFF,471,9.90,NA,NA,4.76,NA,AV18,av,avrainvillea_lacerata
AS17_IN,475,5.22,NA,NA,10.67,NA,AS17,as,acanthophora_spicifera
SF14_IN,475,1.74,NA,NA,9.44,NA,SF14,sf,spyridia_filamentosa
HD17_OFF,476,5.67,NA,NA,10.34,NA,HD17,hd,halimeda_discoidea
AV20_IN,476,6.15,NA,NA,11.83,NA,AV20,av,avrainvillea_lacerata
HD18_IN,467,12.35,NA,NA,9.25,NA,HD18,hd,halimeda_discoidea
AV19_IN,468,14.20,NA,NA,12.14,NA,AV19,av,avrainvillea_lacerata
BLANK2_RUN12_PI,481,0.00,NA,NA,0.00,NA,BLANK2_RUN12,blank,blank
GS17_OFF,478,4.04,NA,NA,18.82,NA,GS17,gs,gracilaria_salicornia
DC10_OFF,479,2.62,NA,NA,9.16,NA,DC10,dc,dictyosphaeria_cavernosa
AS16_OFF,479,1.41,NA,NA,11.35,NA,AS16,as,acanthophora_spicifera
AS20_IN,477,2.18,NA,NA,14.80,NA,AS20,as,acanthophora_spicifera
HD19_IN,471,10.55,NA,NA,8.44,NA,HD19,hd,halimeda_discoidea
AS18_IN,477,1.90,NA,NA,8.99,NA,AS18,as,acanthophora_spicifera
BLANK1_RUN13_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN13,blank,blank
GS18_IN,479,2.57,NA,NA,21.54,NA,GS18,gs,gracilaria_salicornia
GS20_IN,475,5.10,NA,NA,24.32,NA,GS20,gs,gracilaria_salicornia
AS19_IN,479,2.22,NA,NA,14.34,NA,AS19,as,acanthophora_spicifera
BLANK2_RUN13_PI,482,0.00,NA,NA,0.00,NA,BLANK2_RUN13,blank,blank
AV21_IN,477,5.53,NA,NA,21.34,NA,AV21,av,avrainvillea_lacerata
HD20_IN,474,6.97,NA,NA,14.70,NA,HD20,hd,halimeda_discoidea
DA12_IN,470,4.12,NA,NA,4.62,NA,DA12,da,dictyota_acutiloba
GS19_IN,470,5.33,NA,NA,17.23,NA,GS19,gs,gracilaria_salicornia
BLANK1_RUN14_PI,480,0.00,NA,NA,0.00,NA,BLANK1_RUN14,blank,blank
DS14_OFF,476,2.00,NA,NA,11.28,NA,DS14,ds,dicyota_sandvicensis
SF16_IN,468,4.26,NA,NA,15.52,NA,SF16,sf,spyridia_filamentosa
DA13_IN,466,4.40,NA,NA,7.53,NA,DA13,da,dictyota_acutiloba
AS22_OFF,477,2.21,NA,NA,21.70,NA,AS22,as,acanthophora_spicifera
DA14_IN,463,6.55,NA,NA,8.35,NA,DA14,da,dictyota_acutiloba
AS21_IN,478,1.87,NA,NA,26.04,NA,AS21,as,acanthophora_spicifera
DS13_OFF,472,3.11,NA,NA,5.93,NA,DS13,ds,dicyota_sandvicensis
DS12_OFF,474,3.17,NA,NA,6.59,NA,DS12,ds,dicyota_sandvicensis
BLANK2_RUN14_PI,480,0.00,NA,NA,0.00,NA,BLANK2_RUN14,blank,blank
SF15_IN,464,5.86,NA,NA,10.02,NA,SF15,sf,spyridia_filamentosa
HD21_IN,474,5.41,NA,NA,30.56,NA,HD21,hd,halimeda_discoidea
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
